mnth,weekday,hr,cnt
2,5,0,28.625
2,5,1,12.875
2,5,2,6.625
2,5,3,3.7142857142857144
2,5,4,1.6
2,5,5,12.5
2,5,6,52.25
2,5,7,158.25
2,5,8,332.375
2,5,9,202.75
2,5,10,93.625
2,5,11,115.25
2,5,12,159.375
2,5,13,153.625
2,5,14,121.0
2,5,15,139.125
2,5,16,202.75
2,5,17,317.125
2,5,18,266.375
2,5,19,187.5
2,5,20,121.5
2,5,21,95.25
2,5,22,86.375
2,5,23,63.75
3,1,0,17.125
3,1,1,9.375
3,1,2,7.571428571428571
3,1,3,1.625
3,1,4,2.4
3,1,5,15.0
3,1,6,68.75
3,1,7,194.875
3,1,8,379.0
3,1,9,201.625
3,1,10,104.125
3,1,11,112.375
3,1,12,158.625
3,1,13,159.25
3,1,14,145.375
3,1,15,156.0
3,1,16,216.75
3,1,17,430.5
3,1,18,444.625
3,1,19,296.0
3,1,20,183.875
3,1,21,125.375
3,1,22,81.5
3,1,23,35.75
3,2,0,14.555555555555555
3,2,1,9.11111111111111
3,2,2,3.7777777777777777
3,2,3,3.375
3,2,4,2.3333333333333335
3,2,5,14.333333333333334
3,2,6,72.44444444444444
3,2,7,184.66666666666666
3,2,8,396.3333333333333
3,2,9,216.55555555555554
3,2,10,108.11111111111111
3,2,11,125.88888888888889
3,2,12,153.0
3,2,13,152.77777777777777
3,2,14,134.0
3,2,15,151.22222222222223
3,2,16,219.55555555555554
3,2,17,422.1111111111111
3,2,18,436.22222222222223
3,2,19,279.22222222222223
3,2,20,192.0
3,2,21,139.22222222222223
3,2,22,94.0
3,2,23,49.55555555555556
3,3,0,18.22222222222222
3,3,1,10.444444444444445
3,3,2,3.625
3,3,3,4.111111111111111
3,3,4,2.25
3,3,5,17.444444444444443
3,3,6,78.33333333333333
3,3,7,228.66666666666666
3,3,8,411.44444444444446
3,3,9,222.33333333333334
3,3,10,111.33333333333333
3,3,11,129.22222222222223
3,3,12,157.11111111111111
3,3,13,173.77777777777777
3,3,14,141.77777777777777
3,3,15,153.22222222222223
3,3,16,201.88888888888889
3,3,17,425.6666666666667
3,3,18,406.8888888888889
3,3,19,283.77777777777777
3,3,20,194.66666666666666
3,3,21,138.66666666666666
3,3,22,102.88888888888889
3,3,23,52.888888888888886
3,4,0,25.9
3,4,1,14.2
3,4,2,7.1
3,4,3,3.3333333333333335
3,4,4,4.777777777777778
3,4,5,18.0
3,4,6,76.3
3,4,7,223.5
3,4,8,398.4
3,4,9,212.4
3,4,10,102.8
3,4,11,129.8
3,4,12,169.5
3,4,13,166.0
3,4,14,153.5
3,4,15,166.8
3,4,16,234.5
3,4,17,445.0
3,4,18,429.3
3,4,19,286.0
3,4,20,209.3
3,4,21,162.6
3,4,22,110.7
3,4,23,68.1
3,5,0,41.77777777777778
3,5,1,20.22222222222222
3,5,2,9.555555555555555
3,5,3,4.444444444444445
3,5,4,2.4285714285714284
3,5,5,19.77777777777778
3,5,6,67.44444444444444
3,5,7,207.44444444444446
3,5,8,430.1111111111111
3,5,9,254.77777777777777
3,5,10,140.22222222222223
3,5,11,167.88888888888889
3,5,12,224.22222222222223
3,5,13,209.22222222222223
3,5,14,193.0
3,5,15,184.55555555555554
3,5,16,229.22222222222223
3,5,17,391.44444444444446
3,5,18,366.3333333333333
3,5,19,260.55555555555554
3,5,20,171.22222222222223
3,5,21,134.33333333333334
3,5,22,113.66666666666667
3,5,23,82.44444444444444
4,1,0,23.5
4,1,1,11.375
4,1,2,7.5
4,1,3,4.333333333333333
4,1,4,3.5
4,1,5,17.875
4,1,6,77.0
4,1,7,236.25
4,1,8,448.375
4,1,9,226.125
4,1,10,132.375
4,1,11,149.25
4,1,12,197.25
4,1,13,195.75
4,1,14,172.0
4,1,15,194.625
4,1,16,263.0
4,1,17,505.375
4,1,18,492.125
4,1,19,364.25
4,1,20,232.25
4,1,21,171.25
4,1,22,102.0
4,1,23,57.75
4,2,0,26.625
4,2,1,11.75
4,2,2,9.0
4,2,3,5.25
4,2,4,4.25
4,2,5,19.75
4,2,6,88.5
4,2,7,294.625
4,2,8,470.375
4,2,9,237.0
4,2,10,130.25
4,2,11,154.0
4,2,12,184.625
4,2,13,194.75
4,2,14,173.75
4,2,15,186.125
4,2,16,286.375
4,2,17,558.625
4,2,18,543.875
4,2,19,368.75
4,2,20,243.0
4,2,21,182.75
4,2,22,120.5
4,2,23,61.375
4,3,0,29.375
4,3,1,11.125
4,3,2,4.625
4,3,3,3.625
4,3,4,4.714285714285714
4,3,5,20.25
4,3,6,88.75
4,3,7,272.5
4,3,8,479.75
4,3,9,232.375
4,3,10,123.375
4,3,11,144.875
4,3,12,173.875
4,3,13,150.75
4,3,14,148.0
4,3,15,159.75
4,3,16,261.5
4,3,17,520.125
4,3,18,507.125
4,3,19,354.875
4,3,20,244.625
4,3,21,178.375
4,3,22,137.25
4,3,23,79.875
4,4,0,34.375
4,4,1,15.875
4,4,2,10.625
4,4,3,4.375
4,4,4,4.25
4,4,5,18.0
4,4,6,95.5
4,4,7,257.125
4,4,8,464.375
4,4,9,232.375
4,4,10,131.375
4,4,11,165.75
4,4,12,200.875
4,4,13,190.125
4,4,14,197.625
4,4,15,205.75
4,4,16,304.875
4,4,17,563.375
4,4,18,550.0
4,4,19,397.875
4,4,20,272.25
4,4,21,196.125
4,4,22,151.625
4,4,23,99.5
4,5,0,45.625
4,5,1,24.5
4,5,2,13.0
4,5,3,5.5
4,5,4,4.0
4,5,5,18.75
4,5,6,72.5
4,5,7,230.5
4,5,8,444.625
4,5,9,272.75
4,5,10,167.875
4,5,11,182.625
4,5,12,225.75
4,5,13,244.5
4,5,14,239.75
4,5,15,260.375
4,5,16,325.875
4,5,17,490.0
4,5,18,408.75
4,5,19,285.75
4,5,20,193.625
4,5,21,155.5
4,5,22,128.5
4,5,23,104.0
5,1,0,59.714285714285715
5,1,1,29.285714285714285
5,1,2,11.428571428571429
5,1,3,5.714285714285714
5,1,4,6.571428571428571
5,1,5,19.857142857142858
5,1,6,91.0
5,1,7,223.85714285714286
5,1,8,373.2857142857143
5,1,9,193.85714285714286
5,1,10,115.42857142857143
5,1,11,145.42857142857142
5,1,12,201.85714285714286
5,1,13,199.14285714285714
5,1,14,187.57142857142858
5,1,15,196.85714285714286
5,1,16,270.2857142857143
5,1,17,477.7142857142857
5,1,18,494.0
5,1,19,380.2857142857143
5,1,20,259.0
5,1,21,199.0
5,1,22,134.71428571428572
5,1,23,77.0
5,2,0,31.5
5,2,1,16.4
5,2,2,8.7
5,2,3,3.9
5,2,4,4.7
5,2,5,21.0
5,2,6,99.7
5,2,7,277.7
5,2,8,490.2
5,2,9,250.0
5,2,10,146.0
5,2,11,173.2
5,2,12,220.6
5,2,13,209.4
5,2,14,173.0
5,2,15,203.2
5,2,16,331.0
5,2,17,641.7
5,2,18,623.6
5,2,19,413.5
5,2,20,287.2
5,2,21,194.7
5,2,22,133.1
5,2,23,71.0
5,3,0,36.333333333333336
5,3,1,14.777777777777779
5,3,2,9.0
5,3,3,5.111111111111111
5,3,4,3.6666666666666665
5,3,5,26.444444444444443
5,3,6,116.22222222222223
5,3,7,347.1111111111111
5,3,8,537.0
5,3,9,252.0
5,3,10,146.0
5,3,11,159.22222222222223
5,3,12,218.88888888888889
5,3,13,229.22222222222223
5,3,14,204.0
5,3,15,219.77777777777777
5,3,16,324.77777777777777
5,3,17,585.1111111111111
5,3,18,536.6666666666666
5,3,19,395.22222222222223
5,3,20,287.8888888888889
5,3,21,213.33333333333334
5,3,22,158.66666666666666
5,3,23,92.77777777777777
5,4,0,51.55555555555556
5,4,1,18.666666666666668
5,4,2,12.777777777777779
5,4,3,4.555555555555555
5,4,4,5.888888888888889
5,4,5,28.333333333333332
5,4,6,130.0
5,4,7,365.77777777777777
5,4,8,568.1111111111111
5,4,9,272.3333333333333
5,4,10,164.44444444444446
5,4,11,202.88888888888889
5,4,12,251.88888888888889
5,4,13,255.0
5,4,14,215.66666666666666
5,4,15,238.22222222222223
5,4,16,360.8888888888889
5,4,17,675.6666666666666
5,4,18,657.6666666666666
5,4,19,467.55555555555554
5,4,20,361.6666666666667
5,4,21,256.3333333333333
5,4,22,203.55555555555554
5,4,23,123.22222222222223
5,5,0,65.125
5,5,1,39.0
5,5,2,17.375
5,5,3,10.625
5,5,4,6.375
5,5,5,26.75
5,5,6,115.875
5,5,7,316.0
5,5,8,542.25
5,5,9,274.875
5,5,10,181.75
5,5,11,229.875
5,5,12,270.875
5,5,13,286.125
5,5,14,266.5
5,5,15,336.875
5,5,16,438.75
5,5,17,622.0
5,5,18,521.0
5,5,19,373.125
5,5,20,255.875
5,5,21,208.75
5,5,22,188.125
5,5,23,157.125
6,1,0,39.125
6,1,1,17.5
6,1,2,9.625
6,1,3,4.375
6,1,4,6.5
6,1,5,27.875
6,1,6,101.875
6,1,7,323.0
6,1,8,497.5
6,1,9,241.75
6,1,10,132.875
6,1,11,157.125
6,1,12,207.75
6,1,13,219.625
6,1,14,209.625
6,1,15,222.25
6,1,16,348.5
6,1,17,692.375
6,1,18,669.625
6,1,19,492.875
6,1,20,372.5
6,1,21,246.75
6,1,22,158.125
6,1,23,79.125
6,2,0,31.0
6,2,1,15.5
6,2,2,8.75
6,2,3,5.25
6,2,4,6.75
6,2,5,30.625
6,2,6,143.375
6,2,7,407.375
6,2,8,559.0
6,2,9,275.875
6,2,10,155.25
6,2,11,173.625
6,2,12,210.625
6,2,13,213.125
6,2,14,180.875
6,2,15,207.625
6,2,16,337.0
6,2,17,687.625
6,2,18,648.875
6,2,19,458.0
6,2,20,378.625
6,2,21,255.75
6,2,22,190.0
6,2,23,100.375
6,3,0,42.888888888888886
6,3,1,23.11111111111111
6,3,2,8.555555555555555
6,3,3,6.0
6,3,4,7.555555555555555
6,3,5,29.0
6,3,6,148.22222222222223
6,3,7,410.77777777777777
6,3,8,567.4444444444445
6,3,9,256.55555555555554
6,3,10,149.0
6,3,11,177.11111111111111
6,3,12,234.55555555555554
6,3,13,216.33333333333334
6,3,14,210.33333333333334
6,3,15,198.66666666666666
6,3,16,329.77777777777777
6,3,17,649.3333333333334
6,3,18,608.6666666666666
6,3,19,466.44444444444446
6,3,20,354.3333333333333
6,3,21,280.22222222222223
6,3,22,205.66666666666666
6,3,23,120.44444444444444
6,4,0,52.111111111111114
6,4,1,21.88888888888889
6,4,2,9.0
6,4,3,5.777777777777778
6,4,4,7.0
6,4,5,31.77777777777778
6,4,6,140.0
6,4,7,384.0
6,4,8,542.3333333333334
6,4,9,271.3333333333333
6,4,10,148.44444444444446
6,4,11,175.0
6,4,12,229.22222222222223
6,4,13,212.77777777777777
6,4,14,195.66666666666666
6,4,15,216.66666666666666
6,4,16,335.6666666666667
6,4,17,608.0
6,4,18,601.6666666666666
6,4,19,459.77777777777777
6,4,20,367.0
6,4,21,280.3333333333333
6,4,22,201.66666666666666
6,4,23,124.66666666666667
6,5,0,76.44444444444444
6,5,1,31.444444444444443
6,5,2,14.666666666666666
6,5,3,6.0
6,5,4,8.333333333333334
6,5,5,31.0
6,5,6,123.77777777777777
6,5,7,340.1111111111111
6,5,8,573.1111111111111
6,5,9,286.3333333333333
6,5,10,179.11111111111111
6,5,11,215.33333333333334
6,5,12,274.6666666666667
6,5,13,280.6666666666667
6,5,14,260.8888888888889
6,5,15,269.8888888888889
6,5,16,372.22222222222223
6,5,17,579.1111111111111
6,5,18,491.55555555555554
6,5,19,355.77777777777777
6,5,20,267.22222222222223
6,5,21,235.11111111111111
6,5,22,188.11111111111111
6,5,23,155.44444444444446
7,1,0,43.75
7,1,1,17.375
7,1,2,11.0
7,1,3,5.25
7,1,4,6.625
7,1,5,35.375
7,1,6,127.375
7,1,7,359.0
7,1,8,541.625
7,1,9,273.75
7,1,10,156.875
7,1,11,173.5
7,1,12,216.5
7,1,13,195.875
7,1,14,196.375
7,1,15,211.25
7,1,16,343.5
7,1,17,696.125
7,1,18,689.0
7,1,19,526.375
7,1,20,377.75
7,1,21,257.625
7,1,22,186.25
7,1,23,112.0
7,2,0,48.111111111111114
7,2,1,18.88888888888889
7,2,2,11.0
7,2,3,4.777777777777778
7,2,4,5.666666666666667
7,2,5,33.44444444444444
7,2,6,154.55555555555554
7,2,7,421.22222222222223
7,2,8,571.5555555555555
7,2,9,264.8888888888889
7,2,10,171.55555555555554
7,2,11,185.77777777777777
7,2,12,215.44444444444446
7,2,13,226.44444444444446
7,2,14,207.88888888888889
7,2,15,218.88888888888889
7,2,16,357.1111111111111
7,2,17,675.1111111111111
7,2,18,670.5555555555555
7,2,19,466.1111111111111
7,2,20,335.6666666666667
7,2,21,262.22222222222223
7,2,22,194.33333333333334
7,2,23,123.0
7,3,0,47.285714285714285
7,3,1,15.142857142857142
7,3,2,7.142857142857143
7,3,3,5.857142857142857
7,3,4,5.142857142857143
7,3,5,35.42857142857143
7,3,6,145.42857142857142
7,3,7,396.2857142857143
7,3,8,555.5714285714286
7,3,9,252.42857142857142
7,3,10,134.85714285714286
7,3,11,180.42857142857142
7,3,12,206.85714285714286
7,3,13,198.0
7,3,14,170.14285714285714
7,3,15,185.14285714285714
7,3,16,291.0
7,3,17,603.4285714285714
7,3,18,630.2857142857143
7,3,19,488.14285714285717
7,3,20,381.85714285714283
7,3,21,297.85714285714283
7,3,22,218.42857142857142
7,3,23,134.85714285714286
7,4,0,58.75
7,4,1,24.5
7,4,2,10.75
7,4,3,6.375
7,4,4,5.5
7,4,5,32.5
7,4,6,140.625
7,4,7,378.5
7,4,8,550.5
7,4,9,261.875
7,4,10,155.25
7,4,11,179.625
7,4,12,229.5
7,4,13,208.625
7,4,14,185.375
7,4,15,210.0
7,4,16,326.125
7,4,17,629.875
7,4,18,612.75
7,4,19,456.25
7,4,20,365.75
7,4,21,273.75
7,4,22,190.75
7,4,23,130.125
7,5,0,71.11111111111111
7,5,1,32.888888888888886
7,5,2,19.88888888888889
7,5,3,11.777777777777779
7,5,4,8.88888888888889
7,5,5,30.444444444444443
7,5,6,115.44444444444444
7,5,7,317.55555555555554
7,5,8,542.6666666666666
7,5,9,283.22222222222223
7,5,10,181.88888888888889
7,5,11,204.77777777777777
7,5,12,249.66666666666666
7,5,13,242.66666666666666
7,5,14,248.0
7,5,15,248.66666666666666
7,5,16,347.8888888888889
7,5,17,529.6666666666666
7,5,18,479.44444444444446
7,5,19,366.3333333333333
7,5,20,290.0
7,5,21,224.11111111111111
7,5,22,202.44444444444446
7,5,23,156.44444444444446
8,1,0,32.888888888888886
8,1,1,13.555555555555555
8,1,2,7.666666666666667
8,1,3,4.555555555555555
8,1,4,8.333333333333334
8,1,5,25.88888888888889
8,1,6,122.77777777777777
8,1,7,343.3333333333333
8,1,8,497.0
8,1,9,247.33333333333334
8,1,10,156.55555555555554
8,1,11,188.33333333333334
8,1,12,229.77777777777777
8,1,13,226.55555555555554
8,1,14,209.66666666666666
8,1,15,221.66666666666666
8,1,16,357.44444444444446
8,1,17,685.2222222222222
8,1,18,668.3333333333334
8,1,19,452.8888888888889
8,1,20,331.8888888888889
8,1,21,236.66666666666666
8,1,22,155.33333333333334
8,1,23,94.66666666666667
8,2,0,40.111111111111114
8,2,1,19.22222222222222
8,2,2,9.666666666666666
8,2,3,4.444444444444445
8,2,4,6.555555555555555
8,2,5,32.55555555555556
8,2,6,125.44444444444444
8,2,7,354.8888888888889
8,2,8,556.0
8,2,9,275.6666666666667
8,2,10,168.88888888888889
8,2,11,185.77777777777777
8,2,12,240.33333333333334
8,2,13,243.44444444444446
8,2,14,268.6666666666667
8,2,15,277.3333333333333
8,2,16,388.1111111111111
8,2,17,688.1111111111111
8,2,18,657.4444444444445
8,2,19,482.55555555555554
8,2,20,343.8888888888889
8,2,21,261.3333333333333
8,2,22,188.11111111111111
8,2,23,111.88888888888889
8,3,0,44.1
8,3,1,21.4
8,3,2,9.0
8,3,3,6.1
8,3,4,6.2
8,3,5,34.9
8,3,6,145.1
8,3,7,408.8
8,3,8,590.6
8,3,9,282.3
8,3,10,166.9
8,3,11,198.3
8,3,12,262.8
8,3,13,247.1
8,3,14,223.8
8,3,15,234.0
8,3,16,361.6
8,3,17,693.5
8,3,18,688.9
8,3,19,517.7
8,3,20,356.0
8,3,21,264.4
8,3,22,198.8
8,3,23,114.6
8,4,0,55.77777777777778
8,4,1,24.555555555555557
8,4,2,11.777777777777779
8,4,3,5.777777777777778
8,4,4,7.333333333333333
8,4,5,32.111111111111114
8,4,6,142.0
8,4,7,403.8888888888889
8,4,8,585.7777777777778
8,4,9,290.55555555555554
8,4,10,174.22222222222223
8,4,11,215.77777777777777
8,4,12,240.55555555555554
8,4,13,241.44444444444446
8,4,14,211.33333333333334
8,4,15,232.11111111111111
8,4,16,349.22222222222223
8,4,17,677.1111111111111
8,4,18,664.4444444444445
8,4,19,477.77777777777777
8,4,20,369.77777777777777
8,4,21,269.22222222222223
8,4,22,208.55555555555554
8,4,23,147.22222222222223
8,5,0,74.33333333333333
8,5,1,33.0
8,5,2,16.77777777777778
8,5,3,7.0
8,5,4,7.888888888888889
8,5,5,28.666666666666668
8,5,6,110.88888888888889
8,5,7,315.77777777777777
8,5,8,507.8888888888889
8,5,9,295.55555555555554
8,5,10,196.88888888888889
8,5,11,232.11111111111111
8,5,12,300.22222222222223
8,5,13,293.0
8,5,14,290.0
8,5,15,321.44444444444446
8,5,16,424.8888888888889
8,5,17,641.4444444444445
8,5,18,558.6666666666666
8,5,19,405.77777777777777
8,5,20,299.44444444444446
8,5,21,236.0
8,5,22,206.0
8,5,23,154.77777777777777
9,1,0,38.666666666666664
9,1,1,16.0
9,1,2,10.166666666666666
9,1,3,6.8
9,1,4,7.0
9,1,5,33.166666666666664
9,1,6,141.16666666666666
9,1,7,407.5
9,1,8,557.6666666666666
9,1,9,264.0
9,1,10,166.33333333333334
9,1,11,198.16666666666666
9,1,12,258.5
9,1,13,253.5
9,1,14,251.0
9,1,15,265.3333333333333
9,1,16,388.5
9,1,17,723.1666666666666
9,1,18,709.8333333333334
9,1,19,483.6666666666667
9,1,20,323.8333333333333
9,1,21,225.16666666666666
9,1,22,145.83333333333334
9,1,23,78.16666666666667
9,2,0,29.25
9,2,1,12.285714285714286
9,2,2,6.125
9,2,3,5.875
9,2,4,7.375
9,2,5,33.0
9,2,6,147.0
9,2,7,389.125
9,2,8,535.5
9,2,9,255.5
9,2,10,136.375
9,2,11,154.375
9,2,12,183.625
9,2,13,186.125
9,2,14,180.375
9,2,15,202.875
9,2,16,318.75
9,2,17,630.25
9,2,18,572.375
9,2,19,418.125
9,2,20,310.875
9,2,21,231.25
9,2,22,153.875
9,2,23,85.75
9,3,0,32.625
9,3,1,14.875
9,3,2,8.25
9,3,3,5.625
9,3,4,7.25
9,3,5,35.0
9,3,6,152.5
9,3,7,388.125
9,3,8,579.5
9,3,9,258.625
9,3,10,160.875
9,3,11,178.5
9,3,12,232.25
9,3,13,214.75
9,3,14,193.75
9,3,15,221.75
9,3,16,356.875
9,3,17,704.75
9,3,18,668.375
9,3,19,474.625
9,3,20,293.0
9,3,21,229.5
9,3,22,159.75
9,3,23,97.125
9,4,0,47.55555555555556
9,4,1,18.22222222222222
9,4,2,10.75
9,4,3,8.555555555555555
9,4,4,6.0
9,4,5,37.44444444444444
9,4,6,136.77777777777777
9,4,7,399.77777777777777
9,4,8,546.4444444444445
9,4,9,229.33333333333334
9,4,10,136.66666666666666
9,4,11,180.55555555555554
9,4,12,215.55555555555554
9,4,13,230.44444444444446
9,4,14,209.33333333333334
9,4,15,229.44444444444446
9,4,16,346.0
9,4,17,636.3333333333334
9,4,18,607.1111111111111
9,4,19,436.1111111111111
9,4,20,324.22222222222223
9,4,21,218.44444444444446
9,4,22,169.77777777777777
9,4,23,105.88888888888889
9,5,0,56.22222222222222
9,5,1,28.0
9,5,2,15.333333333333334
9,5,3,7.666666666666667
9,5,4,8.222222222222221
9,5,5,31.333333333333332
9,5,6,113.66666666666667
9,5,7,339.3333333333333
9,5,8,541.4444444444445
9,5,9,268.22222222222223
9,5,10,161.33333333333334
9,5,11,215.44444444444446
9,5,12,263.3333333333333
9,5,13,279.6666666666667
9,5,14,264.55555555555554
9,5,15,284.0
9,5,16,393.55555555555554
9,5,17,615.1111111111111
9,5,18,562.6666666666666
9,5,19,424.0
9,5,20,282.22222222222223
9,5,21,224.55555555555554
9,5,22,203.66666666666666
9,5,23,163.44444444444446
10,1,0,31.75
10,1,1,15.571428571428571
10,1,2,6.285714285714286
10,1,3,4.714285714285714
10,1,4,7.428571428571429
10,1,5,30.142857142857142
10,1,6,118.0
10,1,7,354.42857142857144
10,1,8,543.5714285714286
10,1,9,260.57142857142856
10,1,10,147.0
10,1,11,190.57142857142858
10,1,12,233.14285714285714
10,1,13,205.57142857142858
10,1,14,192.0
10,1,15,219.85714285714286
10,1,16,361.7142857142857
10,1,17,679.8571428571429
10,1,18,547.0
10,1,19,341.7142857142857
10,1,20,236.42857142857142
10,1,21,165.0
10,1,22,125.0
10,1,23,82.28571428571429
10,2,0,33.125
10,2,1,12.0
10,2,2,4.625
10,2,3,3.125
10,2,4,6.5
10,2,5,32.0
10,2,6,136.75
10,2,7,374.25
10,2,8,519.5
10,2,9,253.625
10,2,10,144.625
10,2,11,166.625
10,2,12,231.0
10,2,13,212.11111111111111
10,2,14,206.66666666666666
10,2,15,231.88888888888889
10,2,16,344.55555555555554
10,2,17,658.3333333333334
10,2,18,603.2222222222222
10,2,19,372.77777777777777
10,2,20,280.8888888888889
10,2,21,201.77777777777777
10,2,22,156.77777777777777
10,2,23,90.88888888888889
10,3,0,36.666666666666664
10,3,1,14.222222222222221
10,3,2,6.777777777777778
10,3,3,4.75
10,3,4,5.777777777777778
10,3,5,30.0
10,3,6,130.11111111111111
10,3,7,364.0
10,3,8,603.5555555555555
10,3,9,293.1111111111111
10,3,10,162.11111111111111
10,3,11,197.11111111111111
10,3,12,248.55555555555554
10,3,13,212.55555555555554
10,3,14,194.22222222222223
10,3,15,210.44444444444446
10,3,16,357.44444444444446
10,3,17,657.3333333333334
10,3,18,593.1111111111111
10,3,19,407.55555555555554
10,3,20,300.0
10,3,21,204.22222222222223
10,3,22,166.11111111111111
10,3,23,105.55555555555556
10,4,0,44.75
10,4,1,17.25
10,4,2,10.25
10,4,3,5.375
10,4,4,6.75
10,4,5,32.5
10,4,6,115.0
10,4,7,338.75
10,4,8,569.625
10,4,9,269.375
10,4,10,151.75
10,4,11,172.5
10,4,12,236.625
10,4,13,227.625
10,4,14,220.0
10,4,15,260.5
10,4,16,370.875
10,4,17,670.875
10,4,18,586.375
10,4,19,424.625
10,4,20,306.75
10,4,21,218.75
10,4,22,168.25
10,4,23,112.125
10,5,0,62.125
